College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,Booster required?,state_pol
[Capital Community College](https://www.ct.edu/covid19#faqs)@@Capital Community College,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Capital University](https://www.capital.edu/campus-safety/campus-reopening-plans/#communications)@@Capital University,27-Aug-21,Private,OH,✓,--,✓,--,--,R
[Caribbean University-Bayamon](https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/)@@Caribbean University-Bayamon,--,Private,PR,✓,--,✓,--,--,null
[Caribbean University-Carolina](https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/)@@Caribbean University-Carolina,--,Private,PR,✓,--,✓,--,--,null
[Caribbean University-Ponce](https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/)@@Caribbean University-Ponce,--,Private,PR,✓,--,✓,--,--,null
[Caribbean University-Vega Baja](https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/)@@Caribbean University-Vega Baja,--,Private,PR,✓,--,✓,--,--,null
[Carl Sandburg College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Carl Sandburg College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Carleton College](https://www.carleton.edu/covid/updates/message-from-president-poskanzer-sharing-the-framework-for-fall-2021/)@@Carleton College,28-Apr-21,Private,MN,✓,--,✓,--,✓,D
[Carnegie Mellon University](https://www.cmu.edu/coronavirus/news-and-communications/communications-archive/2021/may/vaccine-requirements-for-fall-semester.html)@@Carnegie Mellon University,11-May-21,Private,PA,✓,--,✓,--,✓,D
[Carrington College at Spokane](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Carrington College at Spokane,20-Aug-21,For-profit,WA,✓,--,--,--,--,D
[Carthage College ](https://www.carthage.edu/carthage-covid-19/vaccinations/)@@Carthage College ,14-Jul-21,Private,WI,✓,--,✓,--,--,D
[Cascadia College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Cascadia College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Case Western Reserve University](https://case.edu/covid19/covid-19-communications/vaccination-requirements-case-western-reserve-university)@@Case Western Reserve University,15-Jul-21,Private,OH,✓,--,✓,--,✓,R
[Castleton University](https://www.castleton.edu/covid-19-coronavirus-updates/covid-vaccine/)@@Castleton University,22-Jul-21,Public,VT,--,--,✓,--,--,D
[Catawba College](https://catawba.edu/news-events/remain/plan/vaccination-policy/)@@Catawba College,--,Private,NC,✓,--,✓,--,--,R
[Catholic Theological Union at Chicago](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Catholic Theological Union at Chicago,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Cayuga County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Cayuga County Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Cazenovia College](https://www.cazenovia.edu/news/cazenovia-college-requiring-covid-19-vaccination-fall-2021-semester)@@Cazenovia College,11-May-21,Private,NY,✓,--,✓,--,--,D
[Centenary College of Louisiana](https://www.centenary.edu/directories/offices-services-directory/public-safety/covid-19-information/)@@Centenary College of Louisiana,--,Private,LA,✓,--,✓,--,--,R
[Centenary University](https://www.centenaryuniversity.edu/coronavirus-communications/)@@Centenary University,13-Jul-21,Private,NJ,✓,--,✓,--,--,D
[Central Connecticut State University](https://www.ct.edu/covid19#faqs)@@Central Connecticut State University,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Central Louisiana Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Central Louisiana Technical Community College,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Central Maine Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Central Maine Community College,12-Aug-21,Public,ME,--,--,✓,--,✓,D
[Central New Mexico Community College](https://www.cnm.edu/covid-19/vaccine-policy)@@Central New Mexico Community College,4-Aug-21,Public,NM,✓,--,✓,--,--,D
[Central Washington University](http://www.cwu.edu/message-president-james-gaudino?fbclid=IwAR2F8DQ1D75NBrCsxgkq5OgJJGkwXWBkghX1eIIK4tZ5jSWDWNISlHBTgqU)@@Central Washington University,6-May-21,Public,WA,✓,--,✓,--,--,D
