UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON18,DRUG18,LIQUOR18,WEAPON19,DRUG19,LIQUOR19,WEAPON20,DRUG20,LIQUOR20,FILTER18,FILTER19,FILTER20
218742002,University of South Carolina-Upstate,University Center - Greenville,225 South Pleasantburg Drive at McAllister Square,Greenville,SC,29606,1,"Public, 4-year or above",1907,4131,6038,0,0,0,0,0,0,0,0,0,1,1,1
218742003,University of South Carolina-Upstate,George Dean Johnson School of Business and Economics,160 East St. John Street,Spartanburg,SC,29306,1,"Public, 4-year or above",1907,4131,6038,0,0,0,0,0,0,0,0,0,1,1,1
218751001,Sherman College of Chiropractic,Main Campus,2020 Springfield Rd.,Boiling Springs,SC,29316,2,"Private nonprofit, 4-year or above",215,208,423,0,0,0,0,0,0,0,0,0,1,1,1
218821001,Spartanburg Methodist College,Main Campus,1000 Powell Mill Rd,SPARTANBURG,SC,293015899,2,"Private nonprofit, 4-year or above",506,545,1051,0,1,0,0,0,0,0,0,0,1,1,1
218830001,Spartanburg Community College,Central Campus,107 Community College Drive,SPARTANBURG,SC,29305,4,"Public, 2-year",1651,2457,4108,0,0,0,0,0,0,0,0,0,1,1,1
218830002,Spartanburg Community College,Tyger River Campus,1875 East Main Street,Duncan,SC,29334,4,"Public, 2-year",1651,2457,4108,0,0,0,0,0,0,0,0,0,1,1,1
218830003,Spartanburg Community College,Cherokee County Campus,523 Chesnee Highway,Gaffney,SC,29341,4,"Public, 2-year",1651,2457,4108,0,0,0,0,0,0,0,0,0,1,1,1
218830004,Spartanburg Community College,Evans Academic Center,220 East Kennedy Street,Spartanburg,SC,29302,4,"Public, 2-year",1651,2457,4108,0,0,0,0,0,0,0,0,0,1,1,1
218830005,Spartanburg Community College,Union County,1401 Furman L. Fendley Hwy.,Union,SC,29379,4,"Public, 2-year",1651,2457,4108,0,0,0,0,0,0,0,0,0,1,1,1
218858001,Central Carolina Technical College,Main Campus,506 N GUIGNARD DR,Sumter,SC,291502499,4,"Public, 2-year",905,1980,2885,0,0,0,0,0,0,0,0,0,1,1,1
218858002,Central Carolina Technical College,Health Sciences/Legal Studies Centers (HSC/LSC),133 S. Main St,Sumter,SC,29150,4,"Public, 2-year",905,1980,2885,0,0,0,0,0,0,0,0,0,1,1,1
218858003,Central Carolina Technical College,Advanced Manufacturing Technology Training Center (AMTTC),853 Broad St.,Sumter,SC,29150,4,"Public, 2-year",905,1980,2885,0,0,0,0,0,0,0,0,0,1,1,1
218858004,Central Carolina Technical College,Natural Resources Management Center (NRMC),735 Brewington Rd.,Sumter,SC,29153,4,"Public, 2-year",905,1980,2885,0,0,0,0,0,0,0,0,0,1,1,1
218858005,Central Carolina Technical College,Lee County Site (LCC),200 N. Main St.,Bishopville,SC,29010,4,"Public, 2-year",905,1980,2885,0,0,0,0,0,0,0,0,0,1,1,1
218858006,Central Carolina Technical College,F.E. Dubose Campus (FED),3351 Sumter Hwy,Manning,SC,29102,4,"Public, 2-year",905,1980,2885,0,0,0,1,0,0,1,0,0,1,1,1
218858008,Central Carolina Technical College,Kershaw County Campus (KCC),80 Campus Dr.,Camden,SC,29020,4,"Public, 2-year",905,1980,2885,0,2,0,0,0,0,0,0,0,1,1,1
218885001,Tri-County Technical College,Main Campus,7900 U.S. Hwy 76,PENDLETON,SC,29670,4,"Public, 2-year",2519,3063,5582,0,0,0,0,0,0,0,0,0,1,1,1
218885002,Tri-County Technical College,Anderson Campus,511 Michelin Blvd,Anderson,SC,29625,4,"Public, 2-year",2519,3063,5582,0,0,0,0,0,0,0,0,0,1,1,1
218885003,Tri-County Technical College,Easley Campus,1774 Powedersville Rd,Easley,SC,29642,4,"Public, 2-year",2519,3063,5582,0,0,0,0,0,0,0,0,0,1,1,1
218885004,Tri-County Technical College,Oconee Campus,552 Education Way,Westminster,SC,29693,4,"Public, 2-year",2519,3063,5582,,,,0,0,0,0,0,0,0,1,1
218894001,Trident Technical College,Thornley Campus,7000 Rivers Avenue,North Charleston,SC,29406,4,"Public, 2-year",4478,7172,11650,1,4,1,0,4,0,1,7,0,1,1,1
218894002,Trident Technical College,Berkeley Campus,1001 South Live Oak Drive,Moncks Corner,SC,29461,4,"Public, 2-year",4478,7172,11650,0,0,0,0,0,0,0,0,0,1,1,1
