Representative,Party,State,State abbreviation,Vote
Johnson (SD),Republican,South Dakota,SD,Nay
Johnson (TX),Democratic,Texas,TX,Yea
Jones,Democratic,New York,NY,Yea
Jordan,Republican,Ohio,OH,Nay
Joyce (OH),Republican,Ohio,OH,Nay
Joyce (PA),Republican,Pennsylvania,PA,Nay
Kahele,Democratic,Hawaii,HI,Yea
Kaptur,Democratic,Ohio,OH,Yea
Katko,Republican,New York,NY,Yea
Keating,Democratic,Massachusetts,MA,Yea
Keller,Republican,Pennsylvania,PA,Nay
Kelly (IL),Democratic,Illinois,IL,Yea
Kelly (MS),Republican,Mississippi,MS,Nay
Kelly (PA),Republican,Pennsylvania,PA,Present
Khanna,Democratic,California,CA,Yea
Kildee,Democratic,Michigan,MI,Yea
Kilmer,Democratic,Washington,WA,Yea
Kim (CA),Republican,California,CA,Nay
Kim (NJ),Democratic,New Jersey,NJ,Yea
Kind,Democratic,Wisconsin,WI,Yea
